E  |||  
E  |||  
E  |||  
E  |||  
M  |||  BLADE RUNNER
N  |||  green and yellow in a field of milky blue. Icy fila-
N  |||  ments surround the undulating center.
E  |||  
N  |||  The eye is brown in a tiny screen. On the metallic
N  |||  surface below, the words VOIGHT-KAMPFF are finely
N  |||  etched. There's a touch-light panel across the top
N  |||  and on the side of the screen, a dial that registers
N  |||  fluctuation of the iris.
E  |||  
N  |||  The instrument is no bigger than a music box and sits
N  |||  on a table between two men. The man talking is big,
N  |||  looks like an overstuffed kid. LEON it says on his
N  |||  breast pocket. He's dressed in a warehouseman's uni-
N  |||  form and his pudgy hands are folded expectantly in his
N  |||  lap. Despite the obvious heat, he looks very cool.
E  |||  
N  |||  The man facing him is lean, hollow-cheeked, and dressed
N  |||  in grey. Detached and efficient, he looks like a cop
N  |||  or an accountant. His name is Holden and he's all
N  |||  business, except for the sweat on his face.
E  |||  
N  |||  The room is large and humid. Rows of salvaged junk
N  |||  are stacked neatly against the walls. Two large FANS
N  |||  WHIRR above their heads.
E  |||  
C  |||  LEON
D  |||  Okay if I talk?
E  |||  
N  |||  Holden doesn't answer. He's centering Leon's eye on
N  |||  the machine.
E  |||  
C  |||  LEON
D  |||  I kinda get nervous when I take
D  |||  tests.
E  |||  
C  |||  HOLDEN
D  |||  Don't move.
E  |||  
C  |||  LEON
D  |||  Sorry.
E  |||  
N  |||  He tries not to move, but finally his lips can't help
N  |||  a sheepish smile.
E  |||  
C  |||  LEON
D  |||  I already had I.Q. test this year...
D  |||  but I don't think I never had a...
E  |||  
C  |||  HOLDEN
D  |||  Reaction time is a factor in this so
D  |||  please pay attention. Answer as quickly
D  |||  as you can.
E  |||  
C  |||  LEON
D  |||  Uh... sure...
E  |||  
C  |||  HOLDEN
D  |||  One one eight seven at Hunterwasser...
E  |||  
C  |||  LEON
D  |||  Oh... that's the hotel.
E  |||  
C  |||  HOLDEN
D  |||  What?
E  |||  
C  |||  LEON
D  |||  Where I live.
E  |||  
C  |||  HOLDEN
D  |||  Nice place ?
E  |||  
C  |||  LEON
D  |||  Huh? Sure. Yeah. I guess. Is
D  |||  that.. part of the test ?
E  |||  
N  |||  Holden smiles a patronising smile.
E  |||  
C  |||  HOLDEN
D  |||  Warming you up, that's all.
E  |||  
C  |||  LEON
D  |||  Oh.
D  |||  It's
E  |||  
C  |||  HOLDEN
D  |||  You're in a desert, walking along
D  |||  in the sand when....
E  |||  
C  |||  LEON
D  |||  Is this the test now ?
E  |||  
C  |||  HOLDEN
D  |||  Yes. You're in a desert, walking
D  |||  along in the sand when all of a sudden
D  |||  you lookdown and see a.....
E  |||  
C  |||  LEON
D  |||  What one ?
E  |||  
N  |||  It was a timid interruption, hardly audible.
E  |||  
C  |||  HOLDEN
D  |||  What ?
E  |||  
C  |||  LEON
D  |||  What desert ?
E  |||  
C  |||  HOLDEN
D  |||  Doesn't make any difference what
D  |||  desert.. it's completely hypothetical.
E  |||  
C  |||  LEON
D  |||  But how come I'd be there?
E  |||  
C  |||  HOLDEN
D  |||  Maybe you're fed up, maybe you want
D  |||  to be by yourself.. who knows.
D  |||  So you look down and see a
D  |||  tortoise. It's crawling toward
D  |||  you....
E  |||  
C  |||  LEON
D  |||  A tortoise. What's that?
E  |||  
C  |||  HOLDEN
D  |||  Know what a turtle is?
E  |||  
C  |||  LEON
D  |||  Of course.
E  |||  
C  |||  HOLDEN
D  |||  Same thing.
E  |||  
C  |||  LEON
D  |||  I never seen a turtle.
E  |||  
N  |||  He sees Holden's patience is wearing thin.
E  |||  
C  |||  LEON
D  |||  But I understand what you mean.
E  |||  
C  |||  HOLDEN
D  |||  You reach down and flip the
D  |||  tortoise over on its back, Leon.
E  |||  
N  |||  Keeping an eye on his subject, Holden notes the dials
N  |||  in the Voight-Kampff. One of the needles quivers
N  |||  slightly.
E  |||  
C  |||  LEON
D  |||  You make these questions, Mr.
D  |||  Holden, or they write 'em down
D  |||  for you?
E  |||  
N  |||  Disregarding the question, Holden continues, picking
N  |||  up the pace.
E  |||  
C  |||  HOLDEN
D  |||  The tortoise lays on its back,
D  |||  its belly baking in the hot sun,
D  |||  beating its legs trying to turn
D  |||  itself over. But it can't. Not
D  |||  without your help. But you're not
D  |||  helping.
E  |||  
N  |||  Leon's upper lip is quivering.
E  |||  
C  |||  LEON
D  |||  Whatya mean, I'm not helping?
E  |||  
C  |||  HOLDEN
D  |||  I mean you're not helping! Why is
D  |||  that, Leon?
E  |||  
N  |||  Holden looks hard at Leon, piercing look.
E  |||  
N  |||  Leon is flushed with anger, breathing hard, it's a
N  |||  bad moment, he might erupt.
E  |||  
N  |||  Suddenly Holden grins disarmingly.
E  |||  
C  |||  HOLDEN
D  |||  They're just questions, Leon.
D  |||  In answer to your query, they're
D  |||  written down for me. It's a
D  |||  test, designed to provoke an
D  |||  emotional response.
E  |||  
N  |||  Leon is glaring now, the blush subsides, his anger
N  |||  slightly defused.
E  |||  
N  |||  Holden smiles cheerfully, very smooth.
E  |||  
C  |||  HOLDEN
D  |||  Shall we continue?
E  |||  
N  |||  Leon nods, still frowning, suspiciously.
E  |||  
C  |||  HOLDEN
D  |||  Describe in single words. Only
D  |||  the good things that come into
D  |||  your mind. About your mother.
E  |||  
C  |||  LEON
D  |||  My...
E  |||  
N  |||  Leon looks shocked, surprised. But the needles in
N  |||  the computer barely move. Holden goes for the in-
N  |||  side of his coat. But big Leon is faster. His
N  |||  laser burns a hole the size of a nickel through
N  |||  Holden's stomach. Unlike a bullet, a laser causes
N  |||  no impact. It goes through Holden's shoulder and
N  |||  comes out his back, clean as a whistle. Like a
N  |||  rag doll he falls back into the seat. Big slow Leon
N  |||  is already walking away, but he stops, turns, and
N  |||  with a little smile of satisfaction fires through
N  |||  the back of the seat.
E  |||  
N  |||  As Leon walks out of the room the Voight-Kampff
N  |||  begins to blink, faint but steady.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. OVERHEAD VIEW CITY - NIGHT
E  |||  
N  |||  We are looking down on a city of the future where
N  |||  gigantic buildings dwarf the ancient skyscrapers --
N  |||  of -- now as a huge blimp, flashing lights and
N  |||  BLARING SOUND drifts slowly over the tall buildings.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. THE BLIMP - FROM BELOW - NIGHT
E  |||  
N  |||  As the blimp drifts through the tall buildings ad-
N  |||  vertisements appear on the curved sides of dirigible
N  |||  and an accompanying SOUNDTRACK proclaims, with AM
N  |||  enthusiasm, the virtues of Offworld emigration.
E  |||  
M  |||  BLIMP TRACK
M  |||  ATTENTION SUPERVISORY PERSONNEL!
M  |||  (WE NEED YOU YOU YOU)
M  |||  ATTENTION FAMILY MAKERS!
M  |||  (WE NEED YOU you you)
C  |||  OPPORTUNITY!
D  |||  (WE NEED YOU you you you)
D  |||  AUTOMATIC ADVANCEMENT!
M  |||  (WE NEED YOU YOU YOU)
M  |||  TOP PAY!
M  |||  (WE NEED YOU YOU you you)
M  |||  NUMEROUS BONUSES!
M  |||  (WE NEED YOU YOU you you)
M  |||  SPECIAL INCENTIVES!
M  |||  (WE NEED YOU YOU YOU you)
M  |||  NINE PAID VACATIONS PER YEAR!
M  |||  (WE NEED YOU you you)
M  |||  (beat, beat)
M  |||  The Dominguez-Shimata colony
M  |||  wants supervisory recruits and
M  |||  families.
E  |||  
N  |||  Join us in a clean, fresh
N  |||  environment featuring the
N  |||  invigorating Johnson and
N  |||  Murikami California Climate!
N  |||  (WE NEED YOU YOU you you you)
N  |||  Enjoy the numerous recreation
N  |||  areas and resorts such as the
N  |||  famous Elysium Crater Resort!
E  |||  
N  |||  (WE NEED YOU YOU you you)
E  |||  
N  |||  Let our abundant man-made labour
N  |||  force cater to your personal needs!
E  |||  
N  |||  (WE NEED YOU YOU you you)
E  |||  
N  |||  If you meet health and experience
N  |||  qualifications for the Offworld
N  |||  Emmigration Programs... the
N  |||  standard OPE short form... there's
N  |||  a place for you at Dominguez and
N  |||  Shimata Colonies.
E  |||  
N  |||  Press the button now!
E  |||  
N  |||  Give yourself a brand new world!
E  |||  
N  |||  (WE NEED YOU YOU you you)
E  |||  
E  |||  
M  |||  EXT. CITY STREET - NIGHT
E  |||  
N  |||  Lights from the blimp flash along the street and wipe
N  |||  across the crowds of pedestrians as the VOICE TRACK
N  |||  CONTINUES TO BLARE from above.
E  |||  
N  |||  A portable noodle bar is crowded with customers, sit-
N  |||  ting on stools slurping their food out of bowls.
E  |||  
N  |||  DECKARD is standing near the noodle bar waiting for a
N  |||  seat. He's in his thirties, wiry, athletic, rumpled,
N  |||  used, unshaven. He's holding a newspaper, made of
N  |||  tissue paper, open while he glances at the blimp
N  |||  passing NOISILY overhead. Then he notices the
C  |||  COUNTERMAN.
E  |||  
N  |||  The Counterman is beckoning to him to a newly vacated
N  |||  seat.
E  |||  
N  |||  Deckard sits down at the noodle bar and the Counterman,
N  |||  an elderly Japanese, slaps a menu in front of him.
E  |||  
N  |||  No words on the menu, just pictures of sliced fish
N  |||  parts.
E  |||  
N  |||  Deckard points to a particular item and holds up four
N  |||  fingers.
E  |||  
N  |||  The Counterman looks at the item on the menu, confirms
N  |||  the order by holding up two fingers.
E  |||  
N  |||  Deckard shakes his head "no" and repeats his four
N  |||  fingers.
E  |||  
N  |||  The Counterman nods, corrected and hurries off.
E  |||  
N  |||  Deckard glances overhead.
E  |||  
N  |||  The blimp drifts off among the buildings like a fish
N  |||  disappearing in seaweed, the NOISY VOICE doing a
N  |||  diminuendo.
E  |||  
N  |||  Whap. The Counterman slaps a bowl of rice and a pot
N  |||  of tea in front of Deckard. Then he puts the little
N  |||  bowl with the two slices of fish on the counter.
E  |||  
N  |||  Deckard looks at the fish. Two slices of fish.
E  |||  
N  |||  He looks at the Counterman and holds up four fingers.
E  |||  
N  |||  The Counterman looks down at the two slices of fish,
N  |||  looks like two to him. He looks at Deckard as though
N  |||  Deckard was a fool and holds up two fingers. He can
N  |||  count!
E  |||  
N  |||  Deckard stares bleakly at the fish. Can't win.
E  |||  
N  |||  He starts to eat and that's when he feels a tap on his
N  |||  shoulder. He glances over his right shoulder.
E  |||  
N  |||  A huge cop in uniform is looming behind him.
E  |||  
N  |||  Deckard feels funny, looks left.
E  |||  
N  |||  Another cop is looming over his left shoulder.
E  |||  
N  |||  Deckard is tapped again from the right.
E  |||  
N  |||  Turning again he realizes that it isn't the cop tapping
N  |||  him, it's the short Japanese guy next to the cop. The
N  |||  guy's got beady eyes and lots of energy. His name is
C  |||  GAFF.
E  |||  
C  |||  GAFF
D  |||  (in Japanese)
D  |||  *** You will be required to
D  |||  accompany me, sir. ***
E  |||  
N  |||  Deckard doesn't understand Japanese, thinks the man
N  |||  wants a seat.
E  |||  
C  |||  DECKARD
D  |||  Wait your turn, pal.
E  |||  
N  |||  Deckard turns back to his food.
E  |||  
C  |||  GAFF
D  |||  (in Japanese)
D  |||  *** If you do not comply with an
D  |||  official request, I will be
D  |||  obliged to exert my authority. ***
E  |||  
N  |||  Deckard is ignoring Gaff but the Counterman leans in
N  |||  Deckard's face and translates.
E  |||  
M  |||  THE COUNTERMAN
M  |||  He say, you go with him.
E  |||  
N  |||  Deckard turns and finds Gaff waving a badge in his face.
E  |||  
C  |||  GAFF
D  |||  (in Japanese)
D  |||  *** To defy duly constituted
D  |||  authority is to flaunt the public
D  |||  good. ***
E  |||  
N  |||  Deckard doesn't understand a word.
E  |||  
M  |||  THE COUNTERMAN
M  |||  He say, you're under arrest, Deckard.
E  |||  
N  |||  Deckard turns back to his food.
E  |||  
C  |||  DECKARD
D  |||  Tell him he's got the wrong guy.
D  |||  (turning to Gaff
D  |||  loudly)
D  |||  You got the wrong guy, pal.
E  |||  
C  |||  GAFF
D  |||  (in Japanese)
D  |||  *** Wrong guy, my ass. You're
D  |||  known as The Boogeyman in every
D  |||  mean joint in town. ***
E  |||  
M  |||  THE COUNTERMAN
M  |||  He say, Boogeyman.
E  |||  
N  |||  Deckard flinches at the word "Boogeyman," but goes on
N  |||  eating. But now we know, and he knows it's not a
N  |||  mistake.
E  |||  
C  |||  GAFF
D  |||  (in Japanese)
D  |||  *** You are a Blade Runner in the
D  |||  Four Sector and after the slaughter
D  |||  at the steel shop they called you
D  |||  Mister Nighttime. ***
E  |||  
M  |||  THE COUNTERMAN
M  |||  He say, Brade Runner. He say,
M  |||  Mister Nightime.
E  |||  
C  |||  DECKARD
D  |||  Tell him I'm eating.
E  |||  
C  |||  GAFF
D  |||  (to the Counterman
D  |||  in Japanese)
D  |||  *** Please tell this notorious
D  |||  gentleman that I am acting as an
D  |||  emmisary from Captain Bryant and
D  |||  Captain Bryant has ordered me to
D  |||  bring Mr. Deckard to headquarters
D  |||  even if I have to serve him like
D  |||  so much sushi. ***
E  |||  
N  |||  Deckard is continuing to eat but he has reacted to
N  |||  Gaff's repeated use of the word "Bryant."
E  |||  
M  |||  THE COUNTERMAN
M  |||  (to Deckard)
M  |||  He say, you be ornery, okay. He
M  |||  say big boss Bryant give him
M  |||  permission to use violence make
M  |||  arrest. He say Bryant tell him
M  |||  rearrange your brains akay. Make
M  |||  you raw fish.
E  |||  
N  |||  Deckard looks disgusted and resigned.
E  |||  
C  |||  DECKARD
D  |||  Bryant huh.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. STREET - NIGHT
E  |||  
N  |||  Deckard, still holding his bowl of food, is climbing
N  |||  into a spinner behind Gaff as the two cops loom over
N  |||  him. One of the cops shuts the spinner door behind
N  |||  Deckard and the spinner lifts off in a flurry of wind.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. CITY - BIRD'S EYE VIEW - NIGHT
E  |||  
N  |||  The spinner zips through the canyons of the city.
E  |||  
N  |||  Deckard is sitting in the passenger seat, eating while
N  |||  he watches the maze of suspension bridges, platforms
N  |||  and catwalks swim by below. The tops of larger build-
N  |||  ings emblazoned with fluorescent numerals and scrawls
N  |||  of neon ads.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. SPINNER - NIGHT
E  |||  
N  |||  Deckard is sitting gloomily in the passenger seat,
N  |||  still eating from his bowl with chopsticks as Gaff
N  |||  maneuvers the spinner through the city canyons chat-
N  |||  tering in rapid Japanese.
E  |||  
C  |||  GAFF
D  |||  (in Japanese)
D  |||  I told Bryant I could take care of
D  |||  this myself. Just move me up.
D  |||  I'll do the job, I told him. Five
D  |||  phonies. I just air 'em out.
D  |||  (he imitates shooting)
D  |||  Bow! Bow! Bow!
E  |||  
N  |||  Deckard looks at Gaff uncomprehendingly.
E  |||  
C  |||  GAFF
D  |||  (continuing in Japanese)
D  |||  But no, he says. Bryant thinks
D  |||  you're hot shit, smartest spotter,
D  |||  baddest Blade Runner. You don't
D  |||  look so hot to me. Don't even
D  |||  shave. Bad grooming reflects on
D  |||  the whole department. You don't
D  |||  dress well, that reflects on me...
D  |||  makes the whole department look
D  |||  like shit.
D  |||  The skin jobs look better than you
D  |||  do! What's the point of wiping out
D  |||  skin jobs if they look better than
D  |||  Enforcement? pretty soon the public
D  |||  will want skin jobs for Enforcement.
D  |||  I guess you'd prefer that, hunh?
D  |||  That why you quit?
E  |||  
N  |||  Deckard looks at Gaff. He hasn't understood a word.
E  |||  
C  |||  DECKARD
D  |||  I don't understand a word you're
D  |||  saying.
E  |||  
N  |||  Gaff glares and mutters, turning his attention to navi-
N  |||  gation of the spinner.
E  |||  
C  |||  GAFF
D  |||  (in Japanese)
D  |||  Exactly! Whatta jerk! If I wasn't
D  |||  up for promotion I'd put this baby
D  |||  in a hot spin and leave your dinner
D  |||  all over the glass!
E  |||  
N  |||  The spinner flies low along the center of a busy
N  |||  street and then turns right.
E  |||  
E  |||  
M  |||  EXT. PRECINCT SPINNER PAD - NIGHT
E  |||  
N  |||  The spinner slides toward the pad, cuts speed and
N  |||  gently touches down as another lifts off.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. POLICE HQ CONCOURSE - NIGHT
E  |||  
N  |||  An enormous grey vault of a building, Deckard and Gaff
N  |||  stride down the long corridor. Perhaps Gaff is still
N  |||  jabbering in Japanese.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. BRYANT'S OFFICE - NIGHT
E  |||  
N  |||  BRYANT is sitting behind his big desk, a fat man in his
N  |||  fifties with grey hair, jowls and gas.
E  |||  
C  |||  BRYANT
D  |||  Hiya, Deck!
E  |||  
N  |||  Deckard is standing in the doorway, still in the cus-
N  |||  tody of Gaff. Deckard glares at Bryant and doesn't
N  |||  answer. Bryant dismisses Gaff with a head movement.
N  |||  Deckard glares at Gaff who glares back as he departs.
E  |||  
C  |||  BRYANT
D  |||  You wouldn't have come if I'd just
D  |||  asked you to. Siddown, pal.
E  |||  
N  |||  Deckard glares at Bryant without moving.
E  |||  
C  |||  BRYANT
D  |||  Don't be an asshole, Deckard. I
D  |||  got five skin jobs walking the
D  |||  streets.
E  |||  
N  |||  Deckard smiles and sits down.
E  |||  
C  |||  BRYANT
D  |||  They jumped a shuttle offworld.
D  |||  Killed the crew and passengers.
E  |||  
N  |||  Deckard reacts. This isn't usual.
E  |||  
C  |||  BRYANT
D  |||  We found the shuttle floating off
D  |||  the coast two weeks ago. So we
D  |||  know they're around.
E  |||  
C  |||  DECKARD
D  |||  Embarrassing.
E  |||  
N  |||  Bryant is pouring bourbon into a thick shot glass. He
N  |||  passes the amber tumbler to Deckard who takes it and
N  |||  holds it to the light.
E  |||  
C  |||  BRYANT
D  |||  No, sir! Not fucking embarrassing
D  |||  ... Because nobody's ever gonna
D  |||  find out they're down here because
D  |||  you're gonna spot 'em an' you're
D  |||  gonna air 'em out.
E  |||  
N  |||  Deckard downs his drink and slides the empty back.
E  |||  
C  |||  DECKARD
D  |||  Not me, Bryant. I won't work for
D  |||  you anymore. Give it to Holden,
D  |||  he's good.
E  |||  
N  |||  Deckard turns to go.
E  |||  
C  |||  BRYANT
D  |||  I did.
E  |||  
N  |||  Deckard freezes and turns back.
E  |||  
C  |||  DECKARD
D  |||  And?
E  |||  
C  |||  BRYANT
D  |||  He can breathe okay... as long as
D  |||  nobody unplugs him.
E  |||  
N  |||  Deckard is impressed.
E  |||  
C  |||  BRYANT
D  |||  Not good enough. Not as
D  |||  good as you. I need ya, Deck.
D  |||  This is a bad one, the worst yet.
D  |||  I need the old Blade Runner, I
D  |||  need your magic.
E  |||  
N  |||  Deckard meets Bryant's pleading eyes for a beat.
E  |||  
C  |||  DECKARD
D  |||  I was quit when I walked in
D  |||  here...
D  |||  (pause)
D  |||  ... I'm twice as quit now.
D  |||  See ya, Bryant.
E  |||  
N  |||  Deckard turns to go.
E  |||  
N  |||  Bryant's pleading look turns abruptly cold and hard.
E  |||  
C  |||  BRYANT
D  |||  Stop the fuck right where you are!
E  |||  
N  |||  Deckard freezes at the hard tone.
E  |||  
C  |||  BRYANT
D  |||  You know the score, pal. When
D  |||  you're not a cop, you're little
D  |||  people.
E  |||  
C  |||  DECKARD
D  |||  Forgot there for a minute about
D  |||  the little people. No choices
D  |||  I guess.
E  |||  
C  |||  BRYANT
D  |||  No choice, pal.
E  |||  
M  |||  CUT TO
E  |||  
M  |||  INT. WHITE TILED ROOM (DAY)
E  |||  
N  |||  We are looking at the bright image of a NAKED MAN in a
N  |||  white tiled room with a white floor... an abbatoir
N  |||  without blood. The naked man is very athletic. His
N  |||  face reveals nothing as he executes one physical demon-
N  |||  stration after another.... one handed pushups, gymnastic
N  |||  contortions etc. An accompanying soundtrack drones
N  |||  boringly and while we might pick up a few key words
N  |||  such as "emigration, "incentive and "Man made
N  |||  that we absorb the words.. they are the music to which
N  |||  the image exercises.
E  |||  
N  |||  After a moment a series of lines cross the screen and
N  |||  the image diminishes and we realise we are looking at
N  |||  a monitor.
E  |||  
E  |||  
M  |||  INT. BRYANT'S OFFICE (DAY)
E  |||  
N  |||  Deckard and Bryant are sitting in the dark looking
N  |||  at a series of flickering monitors. Deckard has a
N  |||  bored expression on his face.
E  |||  
C  |||  BRYANT
D  |||  We had an escape from the Off world
D  |||  colonies two weeks ago. Six repli-
D  |||  cants, three male, three female.
D  |||  Slaughtered twenty three people and
D  |||  jumped a shuttle. An aerial patrol
D  |||  found the ship in the desert. No
D  |||  crew.
E  |||  
C  |||  DECKARD
D  |||  These are old slave tapes, show me
D  |||  something new.
E  |||  
N  |||  The naked man continues to exercise as Bryant
N  |||  continues.
E  |||  
C  |||  BRYANT
D  |||  No sign of them then three nights ago
D  |||  they tried to break into the Tyrell
D  |||  Corporation, one got fried going through
D  |||  an electro-field but we lost the others.
D  |||  Going on the possibibility they might
D  |||  try to infiltrate as employees, we sent
D  |||  Holden in to run Voight Kampff tests on
D  |||  new workers. Guess he found himself one.
E  |||  
N  |||  The screen changes. Roy Batty in a loin cloth is battering
N  |||  a metal post with his fists. The smile on his face
N  |||  indicates a total lack of pain. He continues to pummel
N  |||  the post mercilessly his hands becoming bloody.
N  |||  The only sound is Batty humming Beethoven's 9th.
E  |||  
N  |||  Deckard begins to look interested.
E  |||  
C  |||  DECKARD
D  |||  Who's this ?
E  |||  
C  |||  BRYANT
D  |||  It's a Nexus 6. Roy Batty. Incept
D  |||  date 2016, combat model optimum self
D  |||  sufficiency. Probably the leader.
E  |||  
C  |||  DECKARD
D  |||  Why would they come down here ?
D  |||  They coulda hid out ?
E  |||  
C  |||  BRYANT
D  |||  You tell me pal, that's what you're
D  |||  here for.
E  |||  
C  |||  DECKARD
D  |||  They must want something pretty important
D  |||  to risk coming back here. What do the
D  |||  rest look like ?
E  |||  
N  |||  Bryant pushes a button. And a series of revolving still
N  |||  shots of Leon, Pris, Mary and Zhora appear on the screen.
E  |||  
C  |||  DECKARD
D  |||  Why the Tyrell Corporation? Why would
D  |||  they return to the place of their
D  |||  manufacture?
E  |||  
C  |||  BRYANT
D  |||  Maybe they want to find out when
D  |||  they were made ?
E  |||  
C  |||  DECKARD
D  |||  Why would they bother?
E  |||  
C  |||  BRYANT
D  |||  The Nexus 6 was designed to copy human
D  |||  beings in every way except their emotions.
D  |||  But the makers reckoned that after a few
D  |||  years they might develop their own
D  |||  emotional responses - hate, love, fear,
D  |||  anger, envy. So they built in
D  |||  a fail safe device.
E  |||  
C  |||  DECKARD
D  |||  What's that?
E  |||  
C  |||  BRYANT
D  |||  The Nexus 6 has only four years
D  |||  to live.
E  |||  
N  |||  The screens go blank. The lights go on. Bryant pours
N  |||  two more drinks and hands one to Deckard.
E  |||  
C  |||  BRYANT
D  |||  You got one more problem, pal.
E  |||  
N  |||  Deckard downs the glass.
E  |||  
N  |||  BRYANT (continuing)
N  |||  Looks like Holden found out that
N  |||  V-K machine doesn't work on the Nexus
N  |||  6. The Tyrell Corporation has a demo
N  |||  model so go check it out. If the
N  |||  machine fails, we're in deep trouble.
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  INT. HOSPITAL - NIGHT
E  |||  
N  |||  Small green letterforms skim soundlessly across a dark
N  |||  glass panel. Beneath the panel a sick, white face
N  |||  reads excerpts from Treasure Island, mouthing the
N  |||  words as they appear in front of him. It's Holden.
E  |||  
C  |||  HOLDEN
D  |||  (reading)
E  |||  
N  |||  Holden is flat on his back in a breather, an iron-
N  |||  lung-type of device covered in indicator lights and
N  |||  exotic paraphernalia. The hospital room is in com-
N  |||  plete darkness. Holden's breaths come in sharp rasps
N  |||  as he reads.
E  |||  
N  |||  We become aware of Deckard standing in the shadows.
E  |||  
C  |||  DECKARD
D  |||  Whatcha reading?
E  |||  
N  |||  Holden is startled, has to look in a mirror angled over
N  |||  his head, rolling his eyes way back to see who it is.
E  |||  
C  |||  HOLDEN
D  |||  Deckard, Treasure Island! Good to
D  |||  see ya, buddy. Old Favourite.
E  |||  
N  |||  Deckard looks down at Holden and doesn't say anything.
E  |||  
C  |||  HOLDEN
D  |||  Pretty awful, huh?
E  |||  
C  |||  DECKARD
D  |||  Naw, you look great! Absolutely
D  |||  terrific! Never saw ya look
D  |||  better. Jesus, you look good.
E  |||  
N  |||  Deckard pinches Holden's cheek.
E  |||  
C  |||  DECKARD
D  |||  Great complexion! Suit looks
D  |||  really nice. Who's your tailor?
E  |||  
N  |||  Deckard is making a joke, mocking hospital good cheer
N  |||  but the touch of bitterness in his voice reveals his
N  |||  sympathy for Holden.
E  |||  
N  |||  Tears wet Holden's eyes.
E  |||  
C  |||  HOLDEN
D  |||  A big fucking skin job put the
D  |||  smash on me, wrecked me up! Looka
D  |||  me, for Chrissake!
E  |||  
N  |||  Deckard works at being hard.
E  |||  
C  |||  DECKARD
D  |||  Ya blew it, huh ?
E  |||  
N  |||  Holden recovers from his tears and whines.
E  |||  
C  |||  HOLDEN
D  |||  It ain't like it used to be, Deck.
D  |||  It's tough now. These replicants
D  |||  aren't just a buncha muscle miners
D  |||  anymore, they're no goddamn different
D  |||  than you or me...
E  |||  
N  |||  Deckard lights up and sits down, resting his elbows on
N  |||  the glass.
E  |||  
C  |||  DECKARD
D  |||  So what happened ?
E  |||  
C  |||  HOLDEN
D  |||  Ten days ago Security at the
D  |||  Tyrell Corp finds three intruders
D  |||  in the records room. Kills one,
D  |||  two get away, okay ?
E  |||  
N  |||  Deckard nods.
E  |||  
C  |||  HOLDEN
D  |||  They do a routine autopsy on the
D  |||  one that got aired and.. whaddya know?
D  |||  A skin job, one of the ones that
D  |||  busted out! Top drawer replicant..
D  |||  combat type.. Nexus six.
E  |||  
